word_i,word_j,post_id
10,11,0
22,23,0
3,35,0
2,18,0
5,6,0
28,29,0
25,31,0
4,36,0
42,43,0
8,9,0
15,16,0
28,34,0
4,12,0
34,35,0
46,47,0
1,2,0
16,17,0
32,33,0
6,7,0
2,19,0
12,13,0
20,21,0
4,37,0
44,45,0
20,30,0
25,26,0
3,4,0
27,28,0
39,40,0
9,20,0
4,5,0
29,30,0
20,31,0
37,38,0
20,32,0
9,10,0
41,42,0
2,3,0
14,15,0
13,19,0
15,41,0
14,20,0
23,24,0
3,36,0
4,11,0
43,44,0
0,1,0
17,18,0
26,27,0
38,39,0
13,14,0
21,22,0
45,46,0
10,25,0
24,25,0
28,33,0
15,40,0
7,8,0
54,55,1
28,62,1
86,87,1
25,82,1
92,93,1
25,71,1
25,54,1
52,53,1
25,88,1
28,97,1
25,60,1
25,100,1
55,56,1
6,67,1
54,73,1
15,103,1
67,68,1
25,75,1
69,70,1
30,55,1
75,87,1
54,71,1
6,102,1
54,59,1
20,66,1
25,70,1
4,48,1
22,72,1
25,53,1
25,42,1
25,76,1
50,51,1
75,76,1
6,48,1
83,84,1
77,78,1
85,86,1
57,58,1
6,20,1
25,79,1
59,60,1
74,75,1
35,95,1
55,85,1
98,99,1
95,96,1
49,50,1
15,104,1
6,80,1
28,56,1
25,80,1
6,103,1
44,64,1
51,52,1
30,77,1
59,90,1
28,61,1
15,94,1
25,83,1
22,71,1
6,49,1
71,72,1
3,25,1
104,105,1
28,34,1
44,63,1
59,74,1
15,93,1
28,96,1
67,98,1
25,101,1
6,65,1
35,94,1
56,57,1
55,84,1
89,90,1
34,67,1
56,97,1
3,58,1
59,73,1
91,92,1
67,91,1
99,100,1
68,69,1
101,102,1
6,66,1
62,63,1
78,79,1
6,81,1
59,67,1
64,65,1
81,82,1
88,89,1
42,61,1
6,28,2
3,277,2
4,173,2
28,162,2
67,137,2
222,223,2
225,246,2
2,275,2
6,245,2
281,282,2
150,169,2
123,132,2
169,260,2
16,84,2
54,225,2
283,284,2
59,214,2
96,279,2
2,188,2
67,225,2
142,143,2
158,210,2
107,108,2
28,185,2
38,208,2
6,261,2
4,285,2
84,154,2
109,110,2
4,178,2
6,67,2
38,140,2
44,55,2
41,179,2
54,99,2
13,289,2
15,148,2
230,235,2
96,114,2
27,165,2
6,145,2
4,42,2
96,199,2
59,262,2
74,239,2
2,64,2
131,169,2
150,200,2
30,199,2
4,199,2
38,135,2
67,163,2
41,180,2
42,84,2
136,268,2
20,191,2
106,211,2
28,54,2
127,236,2
84,150,2
65,218,2
174,175,2
6,87,2
188,205,2
25,226,2
3,218,2
108,131,2
25,147,2
2,30,2
149,264,2
28,232,2
87,137,2
64,134,2
59,106,2
167,168,2
20,27,2
172,181,2
109,182,2
2,221,2
4,266,2
4,38,2
25,223,2
157,158,2
3,178,2
4,181,2
6,209,2
30,219,2
4,106,2
52,108,2
54,205,2
38,139,2
210,243,2
143,144,2
3,4,2
169,192,2
4,136,2
28,157,2
30,169,2
3,149,2
4,150,2
4,287,2
20,255,2
30,194,2
2,155,2
4,224,2
85,116,2
30,142,2
204,237,2
140,146,2
86,265,2
194,195,2
64,138,2
6,151,2
131,282,2
56,160,2
211,212,2
131,133,2
95,220,2
6,169,2
67,290,2
27,84,2
150,206,2
6,276,2
20,271,2
68,180,2
251,252,2
15,241,2
226,230,2
56,210,2
2,146,2
189,190,2
158,278,2
4,245,2
25,136,2
127,128,2
131,228,2
64,129,2
96,97,2
122,123,2
6,7,2
84,289,2
20,30,2
4,269,2
25,212,2
38,188,2
3,85,2
4,109,2
114,115,2
101,188,2
240,241,2
4,252,2
77,131,2
38,225,2
25,187,2
33,203,2
263,264,2
96,215,2
22,293,2
54,169,2
25,233,2
150,173,2
236,237,2
42,205,2
136,231,2
6,146,2
114,131,2
33,204,2
4,144,2
140,201,2
55,210,2
15,273,2
25,242,2
85,129,2
20,94,2
216,217,2
22,92,2
38,154,2
111,140,2
104,290,2
134,189,2
28,150,2
28,59,2
4,256,2
25,74,2
92,292,2
118,182,2
28,170,2
84,258,2
6,266,2
104,244,2
56,291,2
20,265,2
140,222,2
15,104,2
3,110,2
3,217,2
65,118,2
6,253,2
59,248,2
6,106,2
13,28,2
179,204,2
43,84,2
119,120,2
104,207,2
54,152,2
245,246,2
4,271,2
2,222,2
96,210,2
28,161,2
4,277,2
3,177,2
133,134,2
4,208,2
55,244,2
4,117,2
169,178,2
25,151,2
59,215,2
116,117,2
134,193,2
87,104,2
20,168,2
