word_i,word_j,post_id,zodiac_id
10,11,0,5
22,23,0,5
3,35,0,5
2,18,0,5
5,6,0,5
28,29,0,5
25,31,0,5
4,36,0,5
42,43,0,5
8,9,0,5
15,16,0,5
28,34,0,5
4,12,0,5
34,35,0,5
46,47,0,5
1,2,0,5
16,17,0,5
32,33,0,5
6,7,0,5
2,19,0,5
12,13,0,5
20,21,0,5
4,37,0,5
44,45,0,5
20,30,0,5
25,26,0,5
3,4,0,5
27,28,0,5
39,40,0,5
9,20,0,5
4,5,0,5
29,30,0,5
20,31,0,5
37,38,0,5
20,32,0,5
9,10,0,5
41,42,0,5
2,3,0,5
14,15,0,5
13,19,0,5
15,41,0,5
14,20,0,5
23,24,0,5
3,36,0,5
4,11,0,5
43,44,0,5
0,1,0,5
17,18,0,5
26,27,0,5
38,39,0,5
13,14,0,5
21,22,0,5
45,46,0,5
10,25,0,5
24,25,0,5
28,33,0,5
15,40,0,5
7,8,0,5
54,55,1,5
28,62,1,5
86,87,1,5
25,82,1,5
92,93,1,5
25,71,1,5
25,54,1,5
52,53,1,5
25,88,1,5
28,97,1,5
25,60,1,5
25,100,1,5
55,56,1,5
6,67,1,5
54,73,1,5
15,103,1,5
67,68,1,5
25,75,1,5
69,70,1,5
30,55,1,5
75,87,1,5
54,71,1,5
6,102,1,5
54,59,1,5
20,66,1,5
25,70,1,5
4,48,1,5
22,72,1,5
25,53,1,5
25,42,1,5
25,76,1,5
50,51,1,5
75,76,1,5
6,48,1,5
83,84,1,5
77,78,1,5
85,86,1,5
57,58,1,5
6,20,1,5
25,79,1,5
59,60,1,5
74,75,1,5
35,95,1,5
55,85,1,5
98,99,1,5
95,96,1,5
49,50,1,5
15,104,1,5
6,80,1,5
28,56,1,5
25,80,1,5
6,103,1,5
44,64,1,5
51,52,1,5
30,77,1,5
59,90,1,5
28,61,1,5
15,94,1,5
25,83,1,5
22,71,1,5
6,49,1,5
71,72,1,5
3,25,1,5
104,105,1,5
28,34,1,5
44,63,1,5
59,74,1,5
15,93,1,5
28,96,1,5
67,98,1,5
25,101,1,5
6,65,1,5
35,94,1,5
56,57,1,5
55,84,1,5
89,90,1,5
34,67,1,5
56,97,1,5
3,58,1,5
59,73,1,5
91,92,1,5
67,91,1,5
99,100,1,5
68,69,1,5
101,102,1,5
6,66,1,5
62,63,1,5
78,79,1,5
6,81,1,5
59,67,1,5
64,65,1,5
81,82,1,5
88,89,1,5
42,61,1,5
6,28,2,5
3,277,2,5
4,173,2,5
28,162,2,5
67,137,2,5
222,223,2,5
225,246,2,5
2,275,2,5
6,245,2,5
281,282,2,5
150,169,2,5
123,132,2,5
169,260,2,5
16,84,2,5
54,225,2,5
283,284,2,5
59,214,2,5
96,279,2,5
2,188,2,5
67,225,2,5
142,143,2,5
158,210,2,5
107,108,2,5
28,185,2,5
38,208,2,5
6,261,2,5
4,285,2,5
84,154,2,5
109,110,2,5
4,178,2,5
6,67,2,5
38,140,2,5
44,55,2,5
41,179,2,5
54,99,2,5
13,289,2,5
15,148,2,5
230,235,2,5
96,114,2,5
27,165,2,5
6,145,2,5
4,42,2,5
96,199,2,5
59,262,2,5
74,239,2,5
2,64,2,5
131,169,2,5
150,200,2,5
30,199,2,5
4,199,2,5
38,135,2,5
67,163,2,5
41,180,2,5
42,84,2,5
136,268,2,5
20,191,2,5
106,211,2,5
28,54,2,5
127,236,2,5
84,150,2,5
65,218,2,5
174,175,2,5
6,87,2,5
188,205,2,5
25,226,2,5
3,218,2,5
108,131,2,5
25,147,2,5
2,30,2,5
149,264,2,5
28,232,2,5
87,137,2,5
64,134,2,5
59,106,2,5
167,168,2,5
20,27,2,5
172,181,2,5
109,182,2,5
2,221,2,5
4,266,2,5
4,38,2,5
25,223,2,5
157,158,2,5
3,178,2,5
4,181,2,5
6,209,2,5
30,219,2,5
4,106,2,5
52,108,2,5
54,205,2,5
38,139,2,5
210,243,2,5
143,144,2,5
3,4,2,5
169,192,2,5
4,136,2,5
28,157,2,5
30,169,2,5
3,149,2,5
4,150,2,5
4,287,2,5
20,255,2,5
30,194,2,5
2,155,2,5
4,224,2,5
85,116,2,5
30,142,2,5
204,237,2,5
140,146,2,5
86,265,2,5
194,195,2,5
64,138,2,5
6,151,2,5
131,282,2,5
56,160,2,5
211,212,2,5
131,133,2,5
95,220,2,5
6,169,2,5
67,290,2,5
27,84,2,5
150,206,2,5
6,276,2,5
20,271,2,5
68,180,2,5
251,252,2,5
15,241,2,5
226,230,2,5
56,210,2,5
2,146,2,5
189,190,2,5
158,278,2,5
4,245,2,5
25,136,2,5
127,128,2,5
131,228,2,5
64,129,2,5
96,97,2,5
122,123,2,5
6,7,2,5
84,289,2,5
20,30,2,5
4,269,2,5
25,212,2,5
38,188,2,5
3,85,2,5
4,109,2,5
114,115,2,5
101,188,2,5
240,241,2,5
4,252,2,5
77,131,2,5
38,225,2,5
25,187,2,5
33,203,2,5
263,264,2,5
96,215,2,5
22,293,2,5
54,169,2,5
25,233,2,5
150,173,2,5
236,237,2,5
42,205,2,5
136,231,2,5
6,146,2,5
114,131,2,5
33,204,2,5
4,144,2,5
140,201,2,5
55,210,2,5
15,273,2,5
25,242,2,5
85,129,2,5
20,94,2,5
216,217,2,5
22,92,2,5
38,154,2,5
111,140,2,5
104,290,2,5
134,189,2,5
28,150,2,5
28,59,2,5
4,256,2,5
25,74,2,5
92,292,2,5
118,182,2,5
28,170,2,5
84,258,2,5
6,266,2,5
104,244,2,5
56,291,2,5
20,265,2,5
140,222,2,5
15,104,2,5
3,110,2,5
3,217,2,5
65,118,2,5
6,253,2,5
59,248,2,5
6,106,2,5
13,28,2,5
179,204,2,5
43,84,2,5
119,120,2,5
104,207,2,5
54,152,2,5
245,246,2,5
4,271,2,5
2,222,2,5
96,210,2,5
28,161,2,5
4,277,2,5
3,177,2,5
133,134,2,5
4,208,2,5
55,244,2,5
4,117,2,5
169,178,2,5
25,151,2,5
59,215,2,5
116,117,2,5
134,193,2,5
87,104,2,5
20,168,2,5
79,272,2,5
84,153,2,5
20,150,2,5
2,243,2,5
4,86,2,5
20,261,2,5
45,148,2,5
149,172,2,5
25,259,2,5
67,187,2,5
225,226,2,5
4,124,2,5
2,156,2,5
149,150,2,5
210,239,2,5
2,21,2,5
20,192,2,5
96,113,2,5
137,176,2,5
115,150,2,5
206,279,2,5
4,146,2,5
28,183,2,5
64,274,2,5
42,142,2,5
30,274,2,5
30,198,2,5
56,233,2,5
250,251,2,5
25,260,2,5
110,249,2,5
20,225,2,5
4,123,2,5
96,171,2,5
28,97,2,5
163,164,2,5
205,245,2,5
119,125,2,5
96,231,2,5
28,142,2,5
28,263,2,5
54,185,2,5
65,219,2,5
20,267,2,5
74,84,2,5
88,118,2,5
25,227,2,5
6,243,2,5
108,130,2,5
234,235,2,5
25,140,2,5
193,194,2,5
121,234,2,5
172,180,2,5
25,194,2,5
6,208,2,5
206,207,2,5
25,48,2,5
166,167,2,5
96,270,2,5
249,250,2,5
4,44,2,5
48,213,2,5
4,286,2,5
54,84,2,5
4,74,2,5
4,179,2,5
54,173,2,5
284,285,2,5
20,254,2,5
143,202,2,5
158,159,2,5
42,201,2,5
90,96,2,5
120,121,2,5
55,131,2,5
131,283,2,5
65,180,2,5
28,56,2,5
127,230,2,5
95,221,2,5
3,258,2,5
124,125,2,5
96,216,2,5
79,257,2,5
181,190,2,5
126,127,2,5
6,59,2,5
30,196,2,5
112,113,2,5
20,90,2,5
67,162,2,5
56,262,2,5
2,149,2,5
104,256,2,5
114,123,2,5
217,275,2,5
79,97,2,5
6,254,2,5
42,85,2,5
105,184,2,5
131,229,2,5
3,25,2,5
118,119,2,5
88,280,2,5
56,140,2,5
3,273,2,5
6,197,2,5
84,151,2,5
186,187,2,5
217,276,2,5
3,221,2,5
67,177,2,5
87,293,2,5
229,230,2,5
38,224,2,5
64,135,2,5
4,25,2,5
54,277,2,5
65,184,2,5
141,142,2,5
6,188,2,5
67,138,2,5
269,270,2,5
4,273,2,5
20,104,2,5
137,199,2,5
52,109,2,5
202,203,2,5
164,165,2,5
140,261,2,5
54,228,2,5
210,240,2,5
8,253,2,5
25,54,2,5
