blog_id,age,gender,sector,zodiac
0,17,female,Student,Cancer
1,23,male,Student,Gemini
2,26,male,Technology,Libra
3,17,male,indUnk,Virgo
4,25,female,indUnk,Leo
5,17,male,indUnk,Scorpio
6,34,male,Technology,Cancer
7,24,male,Banking,Aquarius
8,15,male,Student,Aquarius
9,27,female,Student,Pisces
10,27,male,Communications-Media,Gemini
11,16,male,Student,Taurus
12,39,male,Internet,Aries
13,27,male,Communications-Media,Libra
14,13,male,Student,Aries
15,42,male,Internet,Leo
16,16,male,Engineering,Virgo
17,25,female,indUnk,Aquarius
18,23,female,indUnk,Aries
19,17,female,Student,Virgo
20,36,male,Communications-Media,Libra
21,16,male,Student,Virgo
22,23,male,Student,Cancer
23,14,male,Student,Taurus
24,24,male,indUnk,Aquarius
